date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/06/19,(Commonwealthofthe),30,0,2,0
2020/06/19,Afghanistan,27878,541,548,2
2020/06/19,Albania,1838,50,42,3
2020/06/19,Algeria,11385,117,811,12
2020/06/19,Andorra,855,1,52,0
2020/06/19,Angola,166,11,8,1
2020/06/19,Anguilla,3,0,0,0
2020/06/19,AntiguaandBarbuda,26,0,3,0
2020/06/19,Argentina,35552,1393,929,43
2020/06/19,Armenia,19157,459,319,10
2020/06/19,Aruba,101,0,3,0
2020/06/19,Australia,7391,21,102,0
2020/06/19,Austria,17155,40,688,1
2020/06/19,Azerbaijan,11329,338,139,6
2020/06/19,Bahamas,104,0,11,0
2020/06/19,Bahrain,20430,469,55,6
2020/06/19,Bangladesh,102292,3803,0,1343
2020/06/19,Barbados,97,0,7,0
2020/06/19,Belarus,56657,625,331,7
2020/06/19,Belgium,60348,104,9683,8
2020/06/19,Belize,22,0,2,0
2020/06/19,Benin,597,25,11,2
2020/06/19,Bermuda,144,0,9,0
2020/06/19,Bhutan,67,0,0,0
2020/06/19,Bolivia(PlurinationalStateof),20685,802,679,20
2020/06/19,"Bonaire,SintEustatiusandSaba",7,0,0,0
2020/06/19,BosniaandHerzegovina,3202,58,167,0
2020/06/19,Botswana,79,0,1,0
2020/06/19,Brazil,955377,32188,46510,1269
2020/06/19,BritishVirginIslands,8,0,1,0
2020/06/19,BruneiDarussalam,141,0,3,0
2020/06/19,Bulgaria,3674,132,190,6
2020/06/19,BurkinaFaso,899,0,53,0
2020/06/19,Burundi,104,0,1,0
2020/06/19,CaboVerde,823,31,7,0
2020/06/19,Cambodia,129,0,0,0
2020/06/19,Cameroon,9864,0,276,0
2020/06/19,Canada,99853,386,8254,41
2020/06/19,CaymanIslands,193,0,1,0
2020/06/19,CentralAfricanRepublic,2605,41,19,1
2020/06/19,Chad,854,0,74,0
2020/06/19,Chile,225103,4475,3841,226
2020/06/19,China,84940,37,4645,0
2020/06/19,Colombia,57046,2115,1864,63
2020/06/19,Comoros,210,13,5,2
2020/06/19,Congo,883,0,27,0
2020/06/19,CostaRica,1871,75,12,0
2020/06/19,Croatia,2269,11,107,0
2020/06/19,Cuba,2295,15,85,1
2020/06/19,Curaçao,23,0,1,0
2020/06/19,Cyprus,985,0,19,1
2020/06/19,Czechia,10230,68,334,1
2020/06/19,Côted’Ivoire,6444,381,49,1
2020/06/19,DemocraticRepublicoftheCongo,5282,183,116,2
2020/06/19,Denmark,12344,50,600,2
2020/06/19,Djibouti,4557,12,43,0
2020/06/19,Dominica,18,0,0,0
2020/06/19,DominicanRepublic,24645,540,635,2
2020/06/19,Ecuador,49097,607,4087,80
2020/06/19,Egypt,50437,1218,1938,88
2020/06/19,ElSalvador,4200,134,82,3
2020/06/19,EquatorialGuinea,1043,0,12,0
2020/06/19,Eritrea,142,11,0,0
2020/06/19,Estonia,1977,0,69,0
2020/06/19,Eswatini,586,23,4,0
2020/06/19,Ethiopia,3954,195,65,2
2020/06/19,FalklandIslands(Malvinas),13,0,0,0
2020/06/19,FaroeIslands,187,0,0,0
2020/06/19,Fiji,18,0,0,0
2020/06/19,Finland,7117,0,326,0
2020/06/19,France,153557,201,29537,28
