date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/06/16,Poland,29788,396,1256,9
2020/06/16,Ireland,25321,18,1706,0
2020/06/16,Israel,19121,113,302,2
2020/06/16,Armenia,17489,425,293,8
2020/06/16,Austria,17065,27,678,1
2020/06/16,Kazakhstan,15192,383,81,4
2020/06/16,Serbia,12367,57,255,1
2020/06/16,Denmark,12217,24,598,1
2020/06/16,Azerbaijan,10324,367,122,3
2020/06/16,Czechia,10064,40,330,1
2020/06/16,Norway,8631,25,242,0
2020/06/16,Finland,7108,4,326,0
2020/06/16,Uzbekistan,5293,190,19,0
2020/06/16,Tajikistan,5097,62,50,0
2020/06/16,NorthMacedonia,4157,100,193,5
2020/06/16,Hungary,4077,1,565,2
2020/06/16,Luxembourg,4072,2,110,0
2020/06/16,BosniaandHerzegovina,3039,38,164,1
2020/06/16,Kyrgyzstan,2472,100,29,2
2020/06/16,Bulgaria,3341,51,176,2
2020/06/16,Greece,3134,13,184,1
2020/06/16,Croatia,2254,2,107,0
2020/06/16,Estonia,1974,1,69,0
2020/06/16,Iceland,1810,0,10,0
2020/06/16,Lithuania,1773,5,76,1
2020/06/16,Albania,1672,82,37,1
2020/06/16,Slovakia,1552,4,28,0
2020/06/16,Slovenia,1496,1,109,0
2020/06/16,Latvia,1097,0,28,0
2020/06/16,Cyprus,985,2,18,0
2020/06/16,Georgia,879,0,14,0
2020/06/16,Andorra,853,0,51,0
2020/06/16,SanMarino,695,0,42,0
2020/06/16,Malta,649,3,9,0
2020/06/16,Montenegro,326,1,9,0
2020/06/16,Monaco,99,0,1,0
2020/06/16,Liechtenstein,83,0,1,0
2020/06/16,HolySee,12,0,0,0
2020/06/16,Kosovo,1572,129,23,0
2020/06/16,IsleofMan,336,0,24,0
2020/06/16,Jersey,313,0,30,0
2020/06/16,Guernsey,252,0,13,0
2020/06/16,FaroeIslands,187,0,0,0
2020/06/16,Gibraltar,176,0,0,0
2020/06/16,Greenland,13,0,0,0
2020/06/16,India,343091,10667,9900,380
2020/06/16,Bangladesh,90619,3099,1209,38
2020/06/16,Indonesia,39294,1017,2198,64
2020/06/16,Nepal,6211,451,19,0
2020/06/16,Thailand,3135,0,58,0
2020/06/16,Maldives,2065,30,8,0
2020/06/16,SriLanka,1905,16,11,0
2020/06/16,Myanmar,262,0,6,0
2020/06/16,Bhutan,67,1,0,0
2020/06/16,Timor-Leste,24,0,0,0
2020/06/16,China,84823,45,4645,0
2020/06/16,Singapore,40818,214,26,0
2020/06/16,Philippines,26420,490,1098,10
2020/06/16,Japan,17587,85,927,2
2020/06/16,RepublicofKorea,12155,34,278,1
2020/06/16,Malaysia,8494,41,121,0
2020/06/16,LaoPeople'sDemocraticRepublic,19,0,0,0
2020/06/16,Australia,7335,15,102,0
2020/06/16,NewZealand,1156,2,22,0
2020/06/16,VietNam,334,0,0,0
2020/06/16,Mongolia,197,0,0,0
2020/06/16,BruneiDarussalam,141,0,2,0
2020/06/16,Cambodia,128,0,0,0
2020/06/16,Fiji,18,0,0,0
2020/06/16,PapuaNewGuinea,8,0,0,0
2020/06/16,NorthernMarianaIslands,30,0,2,0
2020/06/16,NewCaledonia,21,0,0,0
