date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/06/01,Portugal,32500,297,1410,14
2020/06/01,PuertoRico,3776,58,136,3
2020/06/01,Qatar,56910,1648,38,2
2020/06/01,RepublicofKorea,11503,35,271,1
2020/06/01,RepublicofMoldova,8251,153,295,1
2020/06/01,Romania,19257,124,1262,9
2020/06/01,RussianFederation,414878,9035,4855,162
2020/06/01,Rwanda,370,11,1,0
2020/06/01,Réunion,471,0,1,0
2020/06/01,SaintBarthélemy,6,0,0,0
2020/06/01,SaintKittsandNevis,15,0,0,0
2020/06/01,SaintLucia,18,0,0,0
2020/06/01,SaintMartin,41,0,3,0
2020/06/01,SaintPierreandMiquelon,1,0,0,0
2020/06/01,SaintVincentandtheGrenadines,26,1,0,0
2020/06/01,SanMarino,687,0,42,0
2020/06/01,SaudiArabia,85261,1877,503,23
2020/06/01,Senegal,3645,110,42,0
2020/06/01,Serbia,11412,31,243,1
2020/06/01,Seychelles,11,0,0,0
2020/06/01,SierraLeone,861,9,46,0
2020/06/01,Singapore,34884,518,23,0
2020/06/01,SintMaarten,78,0,15,0
2020/06/01,Slovakia,1522,1,28,0
2020/06/01,Slovenia,1473,0,108,0
2020/06/01,Somalia,1976,60,78,5
2020/06/01,SouthAfrica,32683,1716,683,40
2020/06/01,SouthSudan,994,0,10,0
2020/06/01,Spain,239801,201,29045,2
2020/06/01,SriLanka,1633,13,10,0
2020/06/01,Sudan,5026,226,286,24
2020/06/01,Suriname,14,2,1,0
2020/06/01,Sweden,37542,429,4395,0
2020/06/01,Switzerland,30779,17,1656,0
2020/06/01,SyrianArabRepublic,122,0,5,1
2020/06/01,SãoToméandPríncipe,295,0,10,0
2020/06/01,Tajikistan,3930,123,47,0
2020/06/01,Thailand,3082,1,57,0
2020/06/01,TheUnitedKingdom,274766,1936,38489,113
2020/06/01,Timor-Leste,24,0,0,0
2020/06/01,Togo,442,14,13,0
2020/06/01,TrinidadandTobago,117,1,8,0
2020/06/01,Tunisia,1077,1,48,0
2020/06/01,Turkey,163942,839,4540,25
2020/06/01,TurksandCaicosIslands,12,0,1,0
2020/06/01,Uganda,458,12,0,0
2020/06/01,Ukraine,24012,340,718,10
2020/06/01,UnitedArabEmirates,34557,661,264,2
2020/06/01,UnitedRepublicofTanzania,509,0,21,0
2020/06/01,UnitedStatesVirginIslands,69,0,6,0
2020/06/01,Uruguay,821,5,22,0
2020/06/01,Uzbekistan,3662,108,15,1
2020/06/01,Venezuela(BolivarianRepublicof),1459,89,14,0
2020/06/01,Yemen,327,13,81,3
2020/06/01,Zambia,1057,0,7,0
2020/06/01,Zimbabwe,178,4,4,0
2020/06/02,Afghanistan,16492,742,270,5
2020/06/02,Albania,1164,21,33,0
2020/06/02,Algeria,9513,119,661,8
2020/06/02,Andorra,765,1,51,0
2020/06/02,Angola,86,0,4,0
2020/06/02,Anguilla,3,0,0,0
2020/06/02,AntiguaandBarbuda,25,0,3,0
2020/06/02,Argentina,16851,637,541,11
2020/06/02,Armenia,10009,517,158,19
2020/06/02,Aruba,101,0,3,0
2020/06/02,Austria,16663,21,668,0
2020/06/02,Azerbaijan,5662,168,68,5
2020/06/02,Bahamas,102,1,11,0
2020/06/02,Bahrain,11871,473,19,0
2020/06/02,Bangladesh,49534,2381,672,22
2020/06/02,Barbados,92,0,7,0
2020/06/02,Belarus,43403,847,240,5
2020/06/02,Belgium,58517,136,9486,19
2020/06/02,Belize,18,0,2,0
2020/06/02,Benin,243,11,3,0
2020/06/02,Bermuda,140,0,9,0
2020/06/02,Bhutan,47,4,0,0
2020/06/02,Bolivia(PlurinationalStateof),9982,390,313,3
2020/06/02,"Bonaire,SintEustatiusandSaba",7,0,0,0
2020/06/02,BosniaandHerzegovina,2523,14,153,1
2020/06/02,Botswana,38,0,1,0
2020/06/02,Brazil,514849,16409,29314,480
